###Formula	Mass	Compound name	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
#Formula	Mass	Cpd	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
C42H79O10P	774.5404	PG (18:1/18:1) (del9-trans)		322647-40-5	positive	(M+Na)+	285.26		N2		
C42H79O10P	774.5404	PG (18:1/18:1) (del9-trans)		322647-40-5	negative	(M-H)-	283.01		N2		
C42H79O10P	774.5404	PG (18:1/18:1) (del9-cis)		67254-28-8	positive	(M+H)+	294.47		N2		
C42H79O10P	774.5404	PG (18:1/18:1) (del9-cis)		67254-28-8	positive	(M+Na)+	289.31		N2		
C42H79O10P	774.5404	PG (18:1/18:1) (del9-cis)		67254-28-8	negative	(M-H)-	282.68		N2		
C44H84NO8P	785.5928	PC (18:1/18:1) (del9-cis)		56391-91-4	positive	(M+H)+	296.42		N2		
C44H84NO8P	785.5928	PC (18:1/18:1) (del9-cis)		56391-91-4	positive	(M+Na)+	298.03		N2		
C44H84NO8P	785.5928	PC (18:1/18:1) (del9-cis)		56391-91-4	negative	(M-H)-	279.49		N2		
C44H84NO8P	785.5928	PC (18:1/18:1) (del9-trans)		56782-46-8	positive	(M+H)+	297.29		N2		
C44H84NO8P	785.5928	PC (18:1/18:1) (del9-trans)		56782-46-8	positive	(M+Na)+	300.74		N2		
C46H91O10P	834.6343	PG (16:0/16:0) 4Me		474967-73-2	positive	(M+H)+	311.4		N2		
C46H91O10P	834.6343	PG (16:0/16:0) 4Me		474967-73-2	positive	(M+Na)+	310.43		N2		
C46H91O10P	834.6343	PG (16:0/16:0) 4Me		474967-73-2	negative	(M-H)-	294.68		N2		
C20H32O4	336.2294	LTB4	C02165	71160-24-2	positive	(M+Na)+	196.05		N2		
C20H32O4	336.2294	LTB4	C02165	71160-24-2	negative	(M-H)-	187.44		N2		
C20H32O5	352.225	LXA4	C06314	89663-86-5	positive	(M+Na)+	197.89		N2		
C20H32O5	352.225	LXA4	C06314	89663-86-5	negative	(M-H)-	194		N2		
C20H32O5	352.225	PGE2	C00584	363-24-6	positive	(M+Na)+	198.53		N2		
C20H32O5	352.225	PGE2	C00584	363-24-6	negative	(M-H)-	192.06		N2		
C18H32O3	296.2351	13-HODE	C14762	73804-64-5	positive	(M+Na)+	191.83		N2		
C18H32O3	296.2351	13-HODE	C14762	73804-64-5	negative	(M-H)-	183.11		N2		
C20H32O3	320.2351	11(12)-EET	C14770	81276-02-0	positive	(M+Na)+	187.07		N2		
C20H32O3	320.2351	11(12)-EET	C14770	81276-02-0	negative	(M-H)-	186.8		N2		
C18H32O3	296.2351	9-HODE	C14767	98524-19-7	positive	(M+Na)+	189.14		N2		
C18H32O3	296.2351	9-HODE	C14767	98524-19-7	negative	(M-H)-	180.63		N2		
C20H32O3	320.2345	5S-HETE	C04805	70608-72-9	positive	(M+Na)+	188.21		N2		
C20H32O3	320.2345	5S-HETE	C04805	70608-72-9	negative	(M-H)-	187.2		N2		
C20H32O3	320.2345	12S-HETE	C14777	54397-83-0	positive	(M+Na)+	193.33		N2		
C20H32O3	320.2345	12S-HETE	C14777	54397-83-0	negative	(M-H)-	184.82		N2		
C20H34O5	354.2406	8-iso-PGF2a	C13809	27415-26-5	positive	(M+Na)+	199.03		N2		
C20H34O5	354.2406	8-iso-PGF2a	C13809	27415-26-5	negative	(M-H)-	197.25		N2		
C20H32O3	320.2351	8S-HETE	C14776	98462-03-4	positive	(M+Na)+	187.23		N2		
C20H34O6	370.2349	TXB2	C05963	54397-85-2	positive	(M+Na)+	202.08		N2		
C20H34O6	370.2349	TXB2	C05963	54397-85-2	negative	(M-H)-	194.44		N2		
C20H34O5	354.2406	8-iso-15R-PGF2a	C00639	214748-65-9	positive	(M+Na)+	198.16		N2		
C20H34O5	354.2406	8-iso-15R-PGF2a	C00639	214748-65-9	negative	(M-H)-	197.76		N2		
C22H32O3	344.2351	17(S)-HDHA		92693-03-3	positive	(M+Na)+	191.52		N2		
C22H32O3	344.2351	17(S)-HDHA		92693-03-3	negative	(M-H)-	194.84		N2		
C22H36O3	348.2664	Carbocyclic Thromboxane A2	C02198	74034-56-3	negative	(M-H)-	199.03		N2		
C24H50NO7P	495.3325	LPC 16:0		17364-16-8	positive	(M+H)+	231.4		N2		
C24H50NO7P	495.3325	LPC 16:0		17364-16-8	positive	(M+Na)+	235.09		N2		
C23H38N7O17P3S	809.1258	Acetyl coenzyme A	C00024	102029-73-2	positive	(M+H)+	249.8		N2		
C23H38N7O17P3S	809.1258	Acetyl coenzyme A	C00024	102029-73-2	positive	(M+Na)+	263.07		N2		
C23H46O2	354.3498	Methyl Behenate		929-77-1	negative	(M-H)-	156.13		N2		
C19H34O2	294.2559	Methyl Linoleate		112-63-0	positive	(M+H)+	187.2		N2		
C19H34O2	294.2559	Methyl Linoleate		112-63-0	negative	(M-H)-	183.18		N2		
‎C25H50O2	382.3811	Methyl Tetracosanoate		2442-49-1	positive	(M+H)+	187.54		N2		
C25H40N7O19P3S	867.1312	Succinyl Coenzyme A Sodium Salt	C00091	108347-97-3	positive	(M+H)+	104.39		N2		
C7H11NO3	157.0739	Tiglyl Glycine		35842-45-6	positive	(M+Na)+	146.68		N2		
C7H11NO3	157.0739	Tiglyl Glycine		35842-45-6	negative	(M-H)-	142.93		N2		
C10H14N5O7P	347.0624	2'-Deoxyguanosine 5'-Monophosphate	C00362	902-04-5	positive	(M+H)+	178.96		N2		
C10H14N5O7P	347.0624	2'-Deoxyguanosine 5'-Monophosphate	C00362	902-04-5	positive	(M+Na)+	172.39		N2		
C21H27N6O15P2	665.0997	Nicotinamide Hypoxanthine Dinucleotide	C04423	1851-07-6	positive	(M+H)+	222.79		N2		
C21H27N6O15P2	665.0997	Nicotinamide Hypoxanthine Dinucleotide	C04423	1851-07-6	positive	(M+Na)+	232.01		N2		
C9H14N3O7P	307.0563	2′-Deoxycytidine 5′-Monophosphate	C00239	1032-65-1	positive	(M+H)+	165.59		N2		
C9H14N3O7P	307.0563	2′-Deoxycytidine 5′-Monophosphate	C00239	1032-65-1	positive	(M+Na)+	166.62		N2		
C9H14N3O7P	307.0563	2′-Deoxycytidine 5′-Monophosphate	C00239	1032-65-1	negative	(M-H)-	165.62		N2		
C10H14N5O6P	331.0675	2′-Deoxyadenosine 5′-Monophosphate	C00360	653-63-4	positive	(M+H)+	170.01		N2		
C10H14N5O6P	331.0675	2′-Deoxyadenosine 5′-Monophosphate	C00360	653-63-4	positive	(M+Na)+	176.68		N2		
C10H14N5O6P	331.0675	2′-Deoxyadenosine 5′-Monophosphate	C00360	653-63-4	negative	(M-H)-	174.57		N2		
C11H15N2O8P	334.056	Nicotinamide Mononucleotide	C00455	1094-61-7	positive	(M+H)+	167.13		N2		
C10H14N5O7P	347.0631	Adenosine 5' Monophosphate	C00020	61-19-8	positive	(M+H)+	173.33		N2		
C10H14N5O7P	347.0631	Adenosine 5' Monophosphate	C00020	61-19-8	positive	(M+Na)+	180.73		N2		
C10H14N5O7P	347.0631	Adenosine 5' Monophosphate	C00020	61-19-8	negative	(M-H)-	176.11		N2		
C10H15N5O10P2	427.0294	Adenosine 5' Diphosphate	C00008	58-64-0	positive	(M+H)+	188.61		N2		
C10H15N5O10P2	427.0294	Adenosine 5' Diphosphate	C00008	58-64-0	positive	(M+Na)+	196.92		N2		
C10H15N5O10P2	427.0294	Adenosine 5' Diphosphate	C00008	58-64-0	negative	(M-H)-	186.87		N2		
C10H16N5O13P3	506.9957	Adenosine 5' Triphosphate (ATP)	C00002	56-65-5	positive	(M+Na)+	204.59		N2		
C10H16N5O13P3	506.9957	Adenosine 5' Triphosphate (ATP)	C00002	56-65-5	negative	(M-H)-	198.86		N2		
C16H25N5O15P2	589.0822	Adenosine 5' Diphosphoglucose	C00498	2140-58-1	positive	(M+H)+	218.3		N2		
C16H25N5O15P2	589.0822	Adenosine 5' Diphosphoglucose	C00498	2140-58-1	positive	(M+Na)+	177.62		N2		
C16H25N5O15P2	589.0822	Adenosine 5' Diphosphoglucose	C00498	2140-58-1	negative	(M-H)-	219.14		N2		
C27H33N9O15P2	785.1571	Flavin Adenine Dinucleotide	C00016	146-14-5	negative	(M-H)-	259.22		N2		
C10H13N4O8P	348.0471	Inosine 5′-Monophosphate	C00130	131-99-7	positive	(M+H)+	177.58		N2		
C10H13N4O8P	348.0471	Inosine 5′-Monophosphate	C00130	131-99-7	positive	(M+Na)+	174.57		N2		
C10H13N4O8P	348.0471	Inosine 5′-Monophosphate	C00130	131-99-7	negative	(M-H)-	174.37		N2		
C9H14N3O8P	323.0512	Cytidine 3'-monophosphate	C05822	84-52-6	positive	(M+H)+	170.98		N2		
C9H14N3O8P	323.0512	Cytidine 3'-monophosphate	C05822	84-52-6	positive	(M+Na)+	174.9		N2		
C9H14N3O8P	323.0512	Cytidine 3'-monophosphate	C05822	84-52-6	negative	(M-H)-	170.38		N2		
C9H14N3O8P	323.0518	Cytidine-5' Monophosphate	C00055	63-37-6	positive	(M+H)+	168.8		N2		
C9H14N3O8P	323.0518	Cytidine-5' Monophosphate	C00055	63-37-6	positive	(M+Na)+	171.62		N2		
C9H14N3O8P	323.0518	Cytidine-5' Monophosphate	C00055	63-37-6	negative	(M-H)-	168.43		N2		
C9H14N3O8P	363.058	Guanosine 5' Monophosphate	C00144	85-32-5	positive	(M+H)+	182.21		N2		
C9H14N3O8P	363.058	Guanosine 5' Monophosphate	C00144	85-32-5	positive	(M+Na)+	177.95		N2		
C9H14N3O8P	363.058	Guanosine 5' Monophosphate	C00144	85-32-5	negative	(M-H)-	172.29		N2		
C12H18N4O4PS+	344.0708	Thiamine Monophosphate	C01081	10023-48-0	positive	(M+H)+	172.32		N2		
C10H15N2O8P	322.0566	Thymidine 5'-Monophosphate	C00364	33430-62-5	positive	(M+H)+	163.84		N2		
C10H15N2O8P	322.0566	Thymidine 5'-Monophosphate	C00364	33430-62-5	positive	(M+Na)+	169.74		N2		
C10H15N2O8P	322.0566	Thymidine 5'-Monophosphate	C00364	33430-62-5	negative	(M-H)-	166.26		N2		
C9H13N2O9P	324.0352	Uridine 5'-Monophosphate	C00105	58-97-9	positive	(M+H)+	169.81		N2		
C9H13N2O9P	324.0352	Uridine 5'-Monophosphate	C00105	58-97-9	positive	(M+Na)+	175.14		N2		
C9H13N2O9P	324.0352	Uridine 5'-Monophosphate	C00105	58-97-9	negative	(M-H)-	163.88		N2		
C9H16N3O14P3	482.9845	Cytidine 5' Triphosphate	C00063	65-47-4	positive	(M+Na)+	204.9		N2		
C9H16N3O14P3	482.9845	Cytidine 5' Triphosphate	C00063	65-47-4	negative	(M-H)-	192.16		N2		
C21H27N7O14P2	663.1091	α-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae		7298-93-3	positive	(M+H)+	241.93		N2		
C21H27N7O14P2	663.1091	α-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae		7298-93-3	positive	(M+Na)+	234.65		N2		
C21H27N7O14P2	663.1091	α-Nicotinamide Adenine Dinucleotide Sacchatomyces Cerevisiae		7298-93-3	negative	(M-H)-	227.15		N2		
C21H27N7O14P2	663.1091	β-Nicotinamide Adenine Dinucleotide	C00004	53-84-9	positive	(M+H)+	229.46		N2		
C21H27N7O14P2	663.1091	β-Nicotinamide Adenine Dinucleotide	C00004	53-84-9	positive	(M+Na)+	226.24		N2		
C21H27N7O14P2	663.1091	β-Nicotinamide Adenine Dinucleotide	C00004	53-84-9	negative	(M-H)-	228.12		N2		
C17H21N4O9P	456.1046	Riboflavin 5'-Monophosphate	C00061	146-17-8	positive	(M+H)+	201.48		N2		
C17H21N4O9P	456.1046	Riboflavin 5'-Monophosphate	C00061	146-17-8	positive	(M+Na)+	210.66		N2		
C17H21N4O9P	456.1046	Riboflavin 5'-Monophosphate	C00061	146-17-8	negative	(M-H)-	200.77		N2		
C10H17N2O14P3	481.9893	Thymidine 5' Triphosphate	C00459	365-08-2	positive	(M+Na)+	207.41		N2		
C10H13N5O5	283.091	Guanosine	C00387	118-00-3	positive	(M+H)+	165.02		N2		
C10H13N5O5	283.091	Guanosine	C00387	118-00-3	positive	(M+Na)+	177.25		N2		
C10H13N5O5	283.091	Guanosine	C00387	118-00-3	negative	(M-H)-	164.38		N2		
C5H5N5O	151.0487	Guanine	C00242	73-40-5	positive	(M+H)+	133.55		N2		
C10H13N5O4	267.0961	Adenosine	C00212	58-61-7	positive	(M+Na)+	168.17		N2		
C4H4N2O2	112.0266	Uracil	C00106	66-22-8	positive	(M+H)+	126.98		N2		
C11H15N5O3S	297.0889	5'-Methylthioadenosine	C00170	2457-80-9	positive	(M+H)+	173.03		N2		
C11H15N5O3S	297.0889	5'-Methylthioadenosine	C00170	2457-80-9	positive	(M+Na)+	176.54		N2		
C11H15N5O3S	297.0889	5'-Methylthioadenosine	C00170	2457-80-9	negative	(M-H)-	170.34		N2		
C5H6N2O3	142.0372	5-Hydroxymethyluracil	C03088	4433-40-3	positive	(M+Na)+	142.06		N2		
C5H6N2O3	142.0372	5-Hydroxymethyluracil	C03088	4433-40-3	negative	(M-H)-	124.5		N2		
C9H12N2O5	228.074	Deoxyuridine	C00526	951-78-0	positive	(M+Na)+	159.45		N2		
C9H12N2O5	228.074	Deoxyuridine	C00526	951-78-0	negative	(M-H)-	151.64		N2		
C9H13N3O4	227.09	Deoxycytidine	C00881	951-77-9	positive	(M+Na)+	158.41		N2		
C10H14N2O5	242.0896	Thymidine	C00214	50-89-5	positive	(M+Na)+	164.51		N2		
C10H14N2O5	242.0896	Thymidine	C00214	50-89-5	negative	(M-H)-	157.04		N2		
C11H15N5O5	297.1073	1-Methylguanosine		2140-65-0	positive	(M+H)+	168.8		N2		
C11H15N5O5	297.1073	1-Methylguanosine		2140-65-0	positive	(M+Na)+	180.8		N2		
C11H15N5O5	297.1073	1-Methylguanosine		2140-65-0	negative	(M-H)-	166.93		N2		
C10H13N5O3	251.1018	5'-Deoxyadenosine	C05198	4754-39-6	positive	(M+H)+	162.1		N2		
C10H13N5O3	251.1018	5'-Deoxyadenosine	C05198	4754-39-6	positive	(M+Na)+	171.99		N2		
C10H13N5O3	251.1018	5'-Deoxyadenosine	C05198	4754-39-6	negative	(M-H)-	160.19		N2		
C10H15N3O5	257.1012	5-Methylcytidine		2140-61-6	positive	(M+H)+	157.51		N2		
C10H15N3O5	257.1012	5-Methylcytidine		2140-61-6	positive	(M+Na)+	168.97		N2		
C10H15N3O5	257.1012	5-Methylcytidine		2140-61-6	negative	(M-H)-	160.46		N2		
C5H6N2O2	126.0423	Thymine	C00178	65-71-4	positive	(M+H)+	126.14		N2		
C5H6N2O2	126.0423	Thymine	C00178	65-71-4	negative	(M-H)-	122.42		N2		
C10H12N4O5	268.0808	Inosine	C00294	58-63-9	positive	(M+H)+	159.25		N2		
C10H12N4O5	268.0808	Inosine	C00294	58-63-9	positive	(M+Na)+	175.37		N2		
C10H12N4O5	268.0808	Inosine	C00294	58-63-9	negative	(M-H)-	161.7		N2		
C9H12N2O6	244.0689	Uridine	C00299	58-96-8	positive	(M+Na)+	165.15		N2		
C9H12N2O6	244.0689	Uridine	C00299	58-96-8	negative	(M-H)-	153.86		N2		
C10H12N4O6	284.0757	Xanthosine	C01762	146-80-5	positive	(M+H)+	166.49		N2		
C10H12N4O6	284.0757	Xanthosine	C01762	146-80-5	positive	(M+Na)+	177.45		N2		
C10H12N4O6	284.0757	Xanthosine	C01762	146-80-5	negative	(M-H)-	161.36		N2		
C29H50O2	430.3805	α-Tocopherol	C02477	59-02-9	positive	(M+H)+	215.55		N2		
C29H50O2	430.3805	α-Tocopherol	C02477	59-02-9	negative	(M-H)-	210.73		N2		
C28H48O2	416.3648	γ- + β-Tocopherol	C02483	54-28-4	positive	(M+H)+	212.23		N2		
C28H48O2	416.3648	γ- + β-Tocopherol	C02483	54-28-4	negative	(M-H)-	209.75		N2		
C20H25N7O6	459.186	5-Methyltetrahydrofolate	C00440	68792-52-9	positive	(M+H)+	196.99		N2		
C20H25N7O6	459.186	5-Methyltetrahydrofolate	C00440	68792-52-9	positive	(M+Na)+	200.04		N2		
C20H25N7O6	459.186	5-Methyltetrahydrofolate	C00440	68792-52-9	negative	(M-H)-	199.57		N2		
C18H32CaN2O10	476.1683	Calcium Pantothenate	C12276	137-08-6	positive	(M+H)+	204.26		N2		
C10H16N2O3S	244.0882	D-Biotin	C00120	58-85-5	positive	(M+H)+	154.16		N2		
C10H16N2O3S	244.0882	D-Biotin	C00120	58-85-5	positive	(M+Na)+	164.45		N2		
C10H16N2O3S	244.0882	D-Biotin	C00120	58-85-5	negative	(M-H)-	159.72		N2		
C6H5NO2	123.0314	Nicotinic acid	C00253	59-67-6	positive	(M+H)+	128.35		N2		
C6H5NO2	123.0314	Nicotinic acid	C00253	59-67-6	negative	(M-H)-	124.5		N2		
C6H6N2O	122.0473	Nicotinamide	C00153	98-92-0	positive	(M+H)+	129.32		N2		
C6H6N2O	122.0473	Nicotinamide	C00153	98-92-0	positive	(M+Na)+	137.3		N2		
C8H10NO6P	247.0246	Pyridoxal 5'-Phosphate	C00018	54-47-7	positive	(M+H)+	154.76		N2		
C8H10NO6P	247.0246	Pyridoxal 5'-Phosphate	C00018	54-47-7	positive	(M+Na)+	165.05		N2		
C8H10NO6P	247.0246	Pyridoxal 5'-Phosphate	C00018	54-47-7	negative	(M-H)-	150.54		N2		
C8H9NO3	167.0582	Pyridoxal	C00250	65-22-5	positive	(M+H)+	135.42		N2		
C8H9NO3	167.0582	Pyridoxal	C00250	65-22-5	negative	(M-H)-	132.51		N2		
C8H12N2O2	168.0899	Pyridoxamine	C00534	85-87-0	positive	(M+H)+	135.79		N2		
C8H12N2O2	168.0899	Pyridoxamine	C00534	85-87-0	positive	(M+Na)+	148.49		N2		
C8H12N2O2	168.0899	Pyridoxamine	C00534	85-87-0	negative	(M-H)-	140.12		N2		
C8H11NO3	169.0732	Pyridoxine	C00314	65-23-6	positive	(M+H)+	135.69		N2		
C8H11NO3	169.0732	Pyridoxine	C00314	65-23-6	positive	(M+Na)+	148.49		N2		
C8H11NO3	169.0732	Pyridoxine	C00314	65-23-6	negative	(M-H)-	136.03		N2		
C17H20N4O6	376.1383	Riboflavin	C00255	83-88-5	positive	(M+H)+	192.43		N2		
C17H20N4O6	376.1383	Riboflavin	C00255	83-88-5	positive	(M+Na)+	199.4		N2		
C17H20N4O6	376.1383	Riboflavin	C00255	83-88-5	negative	(M-H)-	189.35		N2		
C63H88CoN14O14P	1354.5674	Vitamin B12	C02823	68-19-9	positive	(M+Na)+	198.03		N2		
C63H88CoN14O14P	1354.5674	Vitamin B12	C02823	68-19-9	negative	(M-H)-	338.98		N2		
C31H40O2	444.3028	Vitamin K2	D00100	863-61-6	positive	(M+H)+	198.66		N2		
C24H40O7S	472.2493	Chenodeoxycholic Acid (S)		474-25-9	negative	(M-H)-	206.57		N2		
C24H40O8S	488.2443	Cholic Acid (S)		81-25-4	negative	(M-H)-	211.06		N2		
C24H40O7S	472.2493	Deoxycholic Acid (S)	C04483	83-44-3	negative	(M-H)-	209.86		N2		
C26H43NO8S	529.2709	Glycochenodeoxycholic Acid (S)	C05466	16564-43-5	negative	(M-H)-	218.8		N2		
C26H43NO9S	465.3084	Glycocholic Acid Hydrate (S)	C01921	1192657-83-2	negative	(M-H)-	219.31		N2		
C26H43NO8S	471.2954	Glycodeoxycholic Acid (S)	C05464	16409-34-0	negative	(M-H)-	218.94		N2		
C26H43NO7S	513.2759	Glycolithocholic Acid (S)	C15557	24404-83-9	negative	(M-H)-	218.9		N2		
C26H45NO9S2	521.278	Taurochenodeoxycholic Acid (S)	C05465	6009-98-9	negative	(M-H)-	221.75		N2		
C26H45NO10S2	537.2729	Taurocholic Acid (S)	C05122	345909-26-4	negative	(M-H)-	221.99		N2		
C26H45NO9S2	521.278	Taurodeoxycholic Acid (S)	C05463	207737-97-1	negative	(M-H)-	221.79		N2		
C24H40O7S	392.292	Ursodeoxycholic Acid (S)	C07880	128-13-2	negative	(M-H)-	208.98		N2		
C24H40O6S	456.6373	Sulfolithocholic Acid		34669-57-3	negative	(M-H)-	212.2		N2		
C24H40O5	408.2876	Ursocholic Acid	C17644	2955-27-3	negative	(M-H)-	205.1		N2		
C24H40O5	408.2876	α-Muricholic Acid	C17647	2393-58-0	negative	(M-H)-	207.44		N2		
C24H40O5	408.2876	β-Muricholic Acid	C17726	2393-59-1	negative	(M-H)-	203.02		N2		
C24H40O5	408.2876	Cholic Acid	C00695	81-25-4	negative	(M-H)-	204.63		N2		
C24H40O5	408.2876	Hyocholic Acid	C17649	547-75-1	negative	(M-H)-	206		N2		
C10H18N4O6	290.122	Argininosuccinic Acid	C03406	‎2387-71-5	positive	(M+H)+	167.39		N2		
C10H18N4O6	290.122	Argininosuccinic Acid	C03406	‎2387-71-5	positive	(M+Na)+	172.22		N2		
C10H18N4O6	290.122	Argininosuccinic Acid	C03406	‎2387-71-5	negative	(M-H)-	169.07		N2		
C6H11NO4	161.0688	DL-2-Aminoadipic Acid	C00956	542-32-5	negative	(M-H)-	132.11		N2		
C9H8O2	148.0524	Cinnamic acid	C00423	140-10-3	positive	(M+H)+	145.31		N2		
C6H6O6	174.0164	Cis-Aconitic acid	C00417	4271-99-2	positive	(M+H)+	152.21		N2		
C6H6O6	174.0164	Cis-Aconitic acid	C00417	4271-99-2	positive	(M+Na)+	146.78		N2		
C6H6O6	174.0164	Cis-Aconitic acid	C00417	4271-99-2	negative	(M-H)-	132.38		N2		
C6H6O6	174.0164	Trans-Aconitic acid	C02341	4023-65-8	positive	(M+H)+	153.02		N2		
C6H6O6	174.0164	Trans-Aconitic acid	C02341	4023-65-8	positive	(M+Na)+	149.13		N2		
C6H6O6	174.0164	Trans-Aconitic acid	C02341	4023-65-8	negative	(M-H)-	131.88		N2		
C6H8O7	192.0263	Citric Acid	C00158	77-92-9	positive	(M+H)+	148.9		N2		
C6H8O7	192.0263	Citric Acid	C00158	77-92-9	positive	(M+Na)+	146.11		N2		
C6H8O7	192.0263	Citric Acid	C00158	77-92-9	negative	(M-H)-	129.49		N2		
C7H10O4	158.0579	4,6-Dioxoheptanoic Acid	C10111	51568-18-4	positive	(M+Na)+	139.45		N2		
C7H10O4	158.0579	4,6-Dioxoheptanoic Acid	C10111	51568-18-4	negative	(M-H)-	131.44		N2		
CH3C6H4CONHCH2CO2H	193.0739	2-Methylhippuric Acid		42013-20-7	positive	(M+Na)+	156.6		N2		
CH3C6H4CONHCH2CO2H	193.0739	2-Methylhippuric Acid		42013-20-7	negative	(M-H)-	153.65		N2		
C4H8O3	104.0473	2-Hydroxybutyric Acid	C05984	600-15-7	negative	(M-H)-	124.67		N2		
C4H8O3	104.0473	DL-Beta-Hydroxybutyric Acid	C01089	150-83-4	negative	(M-H)-	137.54		N2		
C8H8O3	152.0473	4-Hydroxyphenylacetic acid	C00642	156-38-7	negative	(M-H)-	135.22		N2		
C9H8O4	180.0423	4-Hydroxyphenylpyruvic acid	C01179	156-39-8	negative	(M-H)-	145.75		N2		
C6H8O7	192.0263	Isocitrate	C00311	320-77-4	positive	(M+Na)+	146.78		N2		
C6H8O7	192.0263	Isocitrate	C00311	320-77-4	negative	(M-H)-	130.03		N2		
C4H4O4	116.011	Fumaric Acid	C00122	110-17-8	positive	(M+Na)+	133.58		N2		
C9H10O4	182.0579	Homovanillic acid	C05582	60563-13-5	positive	(M+Na)+	149.57		N2		
C9H10O4	182.0579	Homovanillic acid	C05582	60563-13-5	negative	(M-H)-	140.75		N2		
C10H9NO2	175.0633	Indoleacetic acid	C00954	87-51-4	positive	(M+H)+	138.11		N2		
C6H11NO3	145.0739	Isobutyrylamino Acetic Acid		15926-18-8	negative	(M-H)-	141.15		N2		
C5H6O5	146.0215	a- Ketoglutaric Acid	C00026	328-50-7	negative	(M-H)-	124.43		N2		
C10H7NO3	189.0426	Kynurenic acid	C01717	492-27-3	positive	(M+H)+	140.99		N2		
C10H7NO3	189.0426	Kynurenic acid	C01717	492-27-3	positive	(M+Na)+	154.12		N2		
C10H7NO3	189.0426	Kynurenic acid	C01717	492-27-3	negative	(M-H)-	137.3		N2		
C4H6O5	134.0215	L-Malic Acid	C00711	97-67-6	positive	(M+H)+	137.03		N2		
C4H6O5	134.0215	L-Malic Acid	C00711	97-67-6	negative	(M-H)-	118.87		N2		
C6H12O4	148.0736	Mevalonic acid	C00418	150-97-0	positive	(M+Na)+	137.7		N2		
C6H12O4	148.0736	Mevalonic acid	C00418	150-97-0	negative	(M-H)-	133.98		N2		
C6H14O10P2	308.0062	Mevalonic Acid 5-Pyrophosphate		1492-08-6	negative	(M-H)-	153.22		N2		
C6H13O7P	228.0399	Mevalonic Acid 5-Phosphate	C01107	1189-94-2	positive	(M+Na)+	152.28		N2		
C6H13O7P	228.0399	Mevalonic Acid 5-Phosphate	C01107	1189-94-2	negative	(M-H)-	140.02		N2		
C5H8O3	116.0474	2-Oxovaleric acid	C06255	1821-02-9	positive	(M+Na)+	131.64		N2		
C4H4O5	132.0052	Oxaloacetic acid	C00036	328-42-7	positive	(M+H)+	139.45		N2		
C6H10O9P	258.014	3-Deoxy-2-Keto-6 Phosphogluconic Acid	C04442	27244-54-8	negative	(M-H)-	144.13		N2		
C6H13O10P	276.0246	6-Phosphogluconic acid	C00345	921-62-0	positive	(M+Na)+	167.16		N2		
C6H13O10P	276.0246	6-Phosphogluconic acid	C00345	921-62-0	negative	(M-H)-	145.75		N2		
C3H7O7P	185.9923	2-Phosphoglycerate	C00631	2553-59-5	negative	(M-H)-	127.65		N2		
C3H7O7P	185.9923	3-Phosphoglycerate	C00597	3443-58-1	negative	(M-H)-	125.6		N2		
C7H12O6	192.0634	Quinic acid	C00296	77-95-2	positive	(M+H)+	146.35		N2		
C7H12O6	192.0634	Quinic acid	C00296	77-95-2	positive	(M+Na)+	153.72		N2		
C7H12O6	192.0634	Quinic acid	C00296	77-95-2	negative	(M-H)-	138.47		N2		
C7H5NO4	167.0219	Quinolinic acid	C03722	89-00-9	positive	(M+H)+	138.98		N2		
C7H5NO4	167.0219	Quinolinic acid	C03722	89-00-9	negative	(M-H)-	130.03		N2		
C4H6O4	118.0266	Succinic acid	C00042	110-15-6	positive	(M+H)+	122.66		N2		
C4H6O4	118.0266	Succinic acid	C00042	110-15-6	negative	(M-H)-	119.84		N2		
C9H12O7S	301.9863	4-Hydroxy-3 Methoxyphenylglycol Sulfate		71324-20-4	positive	(M+H)+	181.44		N2		
C9H12O7S	301.9863	4-Hydroxy-3 Methoxyphenylglycol Sulfate		71324-20-4	positive	(M+Na)+	176.04		N2		
C9H12O7S	301.9863	4-Hydroxy-3 Methoxyphenylglycol Sulfate		71324-20-4	negative	(M-H)-	157.84		N2		
C6H9NOS	143.0482	4-Methyl-5-Thiazolethanol	C04294	137-00-8	positive	(M+H)+	145.34		N2		
C12H13N3O4S	295.0627	N-Acetyl Sulfamethoxazole	C13061	21312-10-7	positive	(M+H)+	171.45		N2		
C12H13N3O4S	295.0627	N-Acetyl Sulfamethoxazole	C13061	21312-10-7	positive	(M+Na)+	178.52		N2		
C12H13N3O4S	295.0627	N-Acetyl Sulfamethoxazole	C13061	21312-10-7	negative	(M-H)-	172.05		N2		
C3H5O6P	205.9383	Phosphoenol Pyruvic Acid	C00074	138-08-9	negative	(M-H)-	164.28		N2		
C9H12O4	184.0736	rac 4-hydroxy 3-methoxyphenylethylene glycol		534-82-7	positive	(M+Na)+	159.05		N2		
C3H10O6P	172.0137	sn-Glycerol 3-phosphate	C00093	17989-41-2	positive	(M+H)+	179.49		N2		
C3H10O6P	172.0137	sn-Glycerol 3-phosphate	C00093	17989-41-2	positive	(M+Na)+	142.16		N2		
